"","Package","LibPath","Version","Priority","Depends","Imports","NeedsCompilation","Built","whereat"
"rworldmap","rworldmap","C:/Users/Ilya/Documents/R/win-library/4.0","1.3-6",NA,"R (>= 2.10.0), sp","maptools, fields, methods","no","4.0.0","CRAN"
"rworldxtra","rworldxtra","C:/Users/Ilya/Documents/R/win-library/4.0","1.01",NA,"R (>= 2.10.0), sp",NA,NA,"4.0.0","CRAN"
"Ryacas","Ryacas","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.3",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.0), stats, methods, magrittr","yes","4.0.0","CRAN"
"RZabbix","RZabbix","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.2.0)","httr (>= 1.1.0), jsonlite (>= 0.9.19)","no","4.0.0","CRAN"
"sampleSelection","sampleSelection","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-6",NA,"R (>= 2.10), maxLik (>= 0.7-3), stats","miscTools (>= 0.6-3), systemfit (>= 1.0-0), Formula (>=
1.1-1), VGAM (>= 1.1-1), mvtnorm (>= 0.9-9994)","no","4.0.0","CRAN"
"sandwich","sandwich","C:/Users/Ilya/Documents/R/win-library/4.0","2.5-1",NA,"R (>= 2.10.0)","stats, utils, zoo","no","4.0.0","CRAN"
"sass","sass","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.0",NA,NA,"digest, fs, rlang, htmltools","yes","4.0.0","CRAN"
"satellite","satellite","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.2",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), tools, stats4","yes","4.0.0","CRAN"
"scales","scales","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite","no","4.0.0","CRAN"
"scalreg","scalreg","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 2.10), lars",NA,"no","4.0.0","CRAN"
"scatterD3","scatterD3","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.1",NA,NA,"htmlwidgets, digest, ellipse","no","4.0.0","CRAN"
"scatterplot3d","scatterplot3d","C:/Users/Ilya/Documents/R/win-library/4.0","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats","no","4.0.0","CRAN"
"seasonal","seasonal","C:/Users/Ilya/Documents/R/win-library/4.0","1.7.1",NA,"R (>= 2.15)","x13binary","no","4.0.0","CRAN"
"secure","secure","C:/Users/Ilya/Documents/R/win-library/4.0","0.5",NA,"R (>= 3.3.1),stats, utils","Rcpp (>= 0.12.9), MASS","yes","4.0.0","CRAN"
"selectr","selectr","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6","no","4.0.0","CRAN"
"sem","sem","C:/Users/Ilya/Documents/R/win-library/4.0","3.1-11",NA,"R (>= 3.5.0), stats","matrixcalc, MASS, boot, mi (>= 0.9-99), utils","yes","4.0.0","CRAN"
"semantic.dashboard","semantic.dashboard","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.5",NA,NA,"utils, shiny (>= 0.12.1), shiny.semantic (>= 0.1.2),
htmltools, glue","no","4.0.0","CRAN"
"semTools","semTools","C:/Users/Ilya/Documents/R/win-library/4.0","0.5-3",NA,"R(>= 3.4), utils, stats, graphics, lavaan(>= 0.6-6)","methods","no","4.0.0","CRAN"
"semver","semver","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.0",NA,NA,"Rcpp (>= 0.12.8), assertthat, utils","yes","4.0.0","CRAN"
"sendmailR","sendmailR","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-1",NA,"R (>= 3.0.0)","base64enc","no","4.0.0","CRAN"
"seplyr","seplyr","C:/Users/Ilya/Documents/R/win-library/4.0","0.8.8",NA,"R (>= 3.4.0), wrapr (>= 2.0.0)","dplyr (>= 0.8.5), rlang, tidyr","no","4.0.0","CRAN"
"sergeant","sergeant","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.0",NA,"R (>= 3.6.0)","bit64 (>= 0.9-7), DBI (>= 0.7), dplyr (>= 0.8.0), dbplyr (>=
1.3.0), httr (>= 1.2.1), jsonlite (>= 1.5.0), htmltools (>=
0.3.6), readr (>= 1.1.1), purrr (>= 0.2.2), scales (>= 0.4.1),
tibble, utils, methods, magrittr (>= 1.5)","no","4.0.0","CRAN"
"seriation","seriation","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-8",NA,"R (>= 2.14.0)","TSP, qap, grid, cluster, gclus, dendextend, colorspace, MASS,
gplots, registry, methods, stats, grDevices","yes","4.0.0","CRAN"
"servr","servr","C:/Users/Ilya/Documents/R/win-library/4.0","0.17",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.4.0), xfun, jsonlite","no","4.0.0","CRAN"
"sessioninfo","sessioninfo","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,NA,"cli, tools, utils, withr","no","4.0.0","CRAN"
"sets","sets","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-18",NA,"R (>= 2.7.0)","graphics,grDevices,stats,utils","yes","4.0.0","CRAN"
"settings","settings","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.4",NA,NA,"grDevices, graphics","no","4.0.0","CRAN"
"sf","sf","C:/Users/Ilya/Documents/R/win-library/4.0","0.9-4",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), stats, tools, units (>= 0.6-0),
utils","yes","4.0.0","CRAN"
"sfheaders","sfheaders","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.2",NA,NA,"Rcpp","yes","4.0.0","CRAN"
"sfsmisc","sfsmisc","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-7",NA,"R (>= 3.2.0)","grDevices, methods, utils, stats","no","4.0.0","CRAN"
"shades","shades","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.0",NA,NA,NA,"no","4.0.0","CRAN"
"shape","shape","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.4",NA,"R (>= 2.01)","stats, graphics, grDevices","no","4.0.0","CRAN"
"shapefiles","shapefiles","C:/Users/Ilya/Documents/R/win-library/4.0","0.7",NA,"R (>= 1.6.0), foreign",NA,NA,"4.0.0","CRAN"
"shiny","shiny","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest, htmltools (>= 0.4.0.9003), R6 (>=
2.0), sourcetools, later (>= 1.0.0), promises (>= 1.1.0),
tools, crayon, rlang (>= 0.4.0), fastmap (>= 1.0.0), withr,
commonmark (>= 1.7), glue (>= 1.3.2)","no","4.0.2","CRAN"
"shiny.semantic","shiny.semantic","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.0",NA,NA,"shiny (>= 0.12.1), htmltools (>= 0.2.6), htmlwidgets (>= 0.8),
purrr (>= 0.2.2), magrittr, jsonlite","no","4.0.0","CRAN"
"shinyAce","shinyAce","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.1",NA,"R (>= 3.3.0)","shiny (>= 1.0.5), jsonlite, utils, tools","no","4.0.0","CRAN"
"shinyalert","shinyalert","C:/Users/Ilya/Documents/R/win-library/4.0","1.1",NA,"R (>= 3.0.2)","digest, shiny (>= 1.0.4), stats","no","4.0.0","CRAN"
"shinyBS","shinyBS","C:/Users/Ilya/Documents/R/win-library/4.0","0.61",NA,NA,"shiny (>= 0.11), htmltools","no","4.0.0","CRAN"
"shinycssloaders","shinycssloaders","C:/Users/Ilya/Documents/R/win-library/4.0","0.3",NA,"R (>= 3.1)","digest, glue, grDevices, shiny","no","4.0.0","CRAN"
"shinydashboard","shinydashboard","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.1",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises","no","4.0.0","CRAN"
"shinyhelper","shinyhelper","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.2",NA,NA,"shiny, markdown","no","4.0.0","CRAN"
"shinyjqui","shinyjqui","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.3",NA,"R (>= 3.2.0)","shiny (>= 0.14.0), htmltools, htmlwidgets, jsonlite","no","4.0.0","CRAN"
"shinyjs","shinyjs","C:/Users/Ilya/Documents/R/win-library/4.0","1.1",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)","no","4.0.0","CRAN"
"shinyloadtest","shinyloadtest","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 2.10)","R6, curl, dplyr (>= 0.8.0.1), getPass, ggplot2, glue, gtable,
htmltools, httpuv (>= 1.5.2), jsonlite, lubridate, magrittr,
progress, readr, rlang (>= 0.1.2), rmarkdown, scales, stringr,
tibble, svglite, websocket (>= 1.0.0), xml2","no","4.0.0","CRAN"
"shinystan","shinystan","C:/Users/Ilya/Documents/R/win-library/4.0","2.5.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rsconnect (>= 0.4.2), rstan (>=
2.17.1), stats, shinyjs (>= 0.6.0), shinythemes (>= 1.0.1),
threejs (>= 0.2.1), utils, xtable, xts (>= 0.9-7)","no","4.0.0","CRAN"
"ShinyTester","ShinyTester","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.0",NA,NA,"dplyr, purrr, readr, stringr, tidyr, visNetwork","no","4.0.0","CRAN"
"shinythemes","shinythemes","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.2",NA,"R (>= 3.0.0)","shiny (>= 0.11)","no","4.0.0","CRAN"
"shinyTime","shinyTime","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,NA,"htmltools, shiny","no","4.0.0","CRAN"
"shinyWidgets","shinyWidgets","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.3",NA,"R (>= 3.1.0)","shiny (>= 0.14), htmltools, jsonlite, grDevices","no","4.0.0","CRAN"
"simmer","simmer","C:/Users/Ilya/Documents/R/win-library/4.0","4.4.2",NA,"R (>= 3.1.2)","Rcpp, magrittr, codetools, utils","yes","4.0.0","CRAN"
"simmer.plot","simmer.plot","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.16",NA,"R (>= 3.1.2), simmer (>= 3.6.0), ggplot2 (>= 2.2.0)","DiagrammeR (>= 1.0.0), dplyr (>= 0.7.0), tidyr (>= 0.7.0),
scales, utils","no","4.0.0","CRAN"
"simpleboot","simpleboot","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-7",NA,"R (>= 2.14.0)","boot, stats, graphics","no","4.0.0","CRAN"
"sjlabelled","sjlabelled","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.6",NA,"R (>= 3.2)","insight (>= 0.7.0), stats, tools, utils","no","4.0.2","CRAN"
"sjmisc","sjmisc","C:/Users/Ilya/Documents/R/win-library/4.0","2.8.5",NA,"R (>= 3.2)","dplyr (>= 0.8.0), insight (>= 0.6.0), magrittr, methods,
purrr, rlang, sjlabelled (>= 1.1.1), stats, tidyselect (>=
0.2.5), utils","no","4.0.0","CRAN"
"sjPlot","sjPlot","C:/Users/Ilya/Documents/R/win-library/4.0","2.8.4",NA,"R (>= 3.2)","graphics, grDevices, stats, utils, bayestestR (>= 0.6.0),
dplyr (>= 0.8.1), effectsize, ggeffects (>= 0.14.3), ggplot2
(>= 3.2.0), knitr, insight (>= 0.8.0), MASS, parameters (>=
0.7.0), performance (>= 0.4.3), purrr, rlang, scales,
sjlabelled (>= 1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8),
tidyr (>= 1.0.0)","no","4.0.0","CRAN"
"sjstats","sjstats","C:/Users/Ilya/Documents/R/win-library/4.0","0.18.0",NA,"R (>= 3.2), utils","bayestestR (>= 0.4.0), broom, dplyr (>= 0.8.1), effectsize,
emmeans, insight (>= 0.8.0), lme4, magrittr, MASS, modelr,
parameters (>= 0.4.0), performance (>= 0.4.0), purrr, rlang,
sjlabelled (>= 1.1.1), sjmisc (>= 2.8.2), stats, tidyr","no","4.0.0","CRAN"
"SkewHyperbolic","SkewHyperbolic","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-0",NA,"R (>= 3.0.1)","grDevices, graphics, stats, DistributionUtils,
GeneralizedHyperbolic","no","4.0.0","CRAN"
"skimr","skimr","C:/Users/Ilya/Documents/R/win-library/4.0","2.1.2",NA,"R (>= 3.1.2)","cli, crayon, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>=
1.5), purrr, repr, rlang (>= 0.3.1), stats, stringr (>= 1.1),
tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect (>= 0.2.5), withr","no","4.0.2","CRAN"
"slam","slam","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-47",NA,"R (>= 3.4.0)","stats","yes","4.0.0","CRAN"
"Sleuth2","Sleuth2","C:/Users/Ilya/Documents/R/win-library/4.0","2.0-5",NA,"R (>= 3.5.0)",NA,"no","4.0.0","CRAN"
"slider","slider","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.4",NA,"R (>= 3.2)","glue, rlang (>= 0.4.5), vctrs (>= 0.3.0), warp","yes","4.0.0","CRAN"
"smooth","smooth","C:/Users/Ilya/Documents/R/win-library/4.0","2.6.0",NA,"R (>= 3.0.2), greybox (>= 0.5.9)","Rcpp (>= 0.12.3), stats, graphics, forecast (>= 7.0), nloptr,
utils, zoo","yes","4.0.0","CRAN"
"sna","sna","C:/Users/Ilya/Documents/R/win-library/4.0","2.5",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,"yes","4.0.0","CRAN"
"snakecase","snakecase","C:/Users/Ilya/Documents/R/win-library/4.0","0.11.0",NA,"R (>= 3.2)","stringr, stringi","no","4.0.0","CRAN"
"snow","snow","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-3",NA,"R (>= 2.13.1), utils",NA,"no","4.0.0","CRAN"
"SnowballC","SnowballC","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.0",NA,NA,NA,"yes","4.0.0","CRAN"
"snowfall","snowfall","C:/Users/Ilya/Documents/R/win-library/4.0","1.84-6.1",NA,"R (>= 2.10), snow",NA,"no","4.0.0","CRAN"
"sos","sos","C:/Users/Ilya/Documents/R/win-library/4.0","2.0-0",NA,"brew",NA,"no","4.0.0","CRAN"
"sourcetools","sourcetools","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.7",NA,"R (>= 3.0.2)",NA,"yes","4.0.0","CRAN"
"sp","sp","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-2",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid","yes","4.0.0","CRAN"
"spam","spam","C:/Users/Ilya/Documents/R/win-library/4.0","2.5-1",NA,"R (>= 3.1), dotCall64, grid, methods",NA,"yes","4.0.0","CRAN"
"sparklyr","sparklyr","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.1",NA,"R (>= 3.2)","assertthat, base64enc, config (>= 0.2), DBI (>= 0.6-1), dplyr
(>= 0.7.2), dbplyr (>= 1.1.0), digest, forge, generics,
globals, httr (>= 1.2.1), jsonlite (>= 1.4), methods, openssl
(>= 0.8), purrr, r2d3, rappdirs, rjson (>= 0.2.20), rlang (>=
0.1.4), rprojroot, rstudioapi (>= 0.10), tibble, tidyr, uuid,
withr, xml2, ellipsis (>= 0.1.0)","no","4.0.2","CRAN"
"SparseM","SparseM","C:/Users/Ilya/Documents/R/win-library/4.0","1.78",NA,"R (>= 2.15), methods","graphics, stats, utils","yes","4.0.0","CRAN"
"sparsepp","sparsepp","C:/Users/Ilya/Documents/R/win-library/4.0","1.22",NA,NA,NA,"no","4.0.0","CRAN"
"spatialwidget","spatialwidget","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.2",NA,"R (>= 3.3.0)","Rcpp","yes","4.0.0","CRAN"
"spatstat.utils","spatstat.utils","C:/Users/Ilya/Documents/R/win-library/4.0","1.17-0",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,"yes","4.0.0","CRAN"
"spd","spd","C:/Users/Ilya/Documents/R/win-library/4.0","2.0-1",NA,"methods","KernSmooth, stats, graphics, utils","no","4.0.0","CRAN"
"spData","spData","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.8",NA,"R (>= 3.3.0)","sp, raster","no","4.0.2","CRAN"
"spdep","spdep","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-5",NA,"R (>= 3.3.0), methods, sp (>= 1.0), spData (>= 0.2.6.0), sf","deldir, boot (>= 1.3-1), graphics, grDevices, utils, stats,
Matrix, LearnBayes, MASS, coda, expm, gmodels, nlme","yes","4.0.2","CRAN"
"speedglm","speedglm","C:/Users/Ilya/Documents/R/win-library/4.0","0.3-2",NA,"Matrix, MASS","methods, stats","no","4.0.0","CRAN"
"splitstackshape","splitstackshape","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.8",NA,"R (>= 2.10)","data.table (>= 1.9.4)","no","4.0.0","CRAN"
"splm","splm","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-11",NA,"R (>= 2.12.0), spdep","plm, maxLik, MASS, bdsmatrix, ibdreg, nlme, Matrix, spam,
methods","no","4.0.0","CRAN"
"splus2R","splus2R","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-2",NA,"R (>= 2.7.2)","methods","yes","4.0.0","CRAN"
"sqldf","sqldf","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-11",NA,"R (>= 3.1.0), gsubfn (>= 0.6), proto, RSQLite","DBI, chron","no","4.0.0","CRAN"
"SQUAREM","SQUAREM","C:/Users/Ilya/Documents/R/win-library/4.0","2020.3",NA,"R (>= 3.0)",NA,"no","4.0.0","CRAN"
"stabledist","stabledist","C:/Users/Ilya/Documents/R/win-library/4.0","0.7-1",NA,"R (>= 3.1.0)","stats","no","4.0.0","CRAN"
"stabs","stabs","C:/Users/Ilya/Documents/R/win-library/4.0","0.6-3",NA,"R (>= 2.14.0), methods, stats, parallel","graphics, grDevices, utils","no","4.0.0","CRAN"
"standardize","standardize","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.1",NA,"R (>= 3.3.3)","stats, methods, MASS (>= 7.3-45), lme4 (>= 1.1-12), stringr
(>= 1.2.0)","no","4.0.0","CRAN"
"StanHeaders","StanHeaders","C:/Users/Ilya/Documents/R/win-library/4.0","2.21.0-5",NA,"R (>= 3.4.0)","RcppParallel (>= 5.0.1)","yes","4.0.0","CRAN"
"stargazer","stargazer","C:/Users/Ilya/Documents/R/win-library/4.0","5.2.2",NA,NA,"stats, utils","no","4.0.0","CRAN"
"stars","stars","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-3",NA,"R (>= 3.3.0), abind, sf (>= 0.9-0)","methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units","no","4.0.2","CRAN"
"statmod","statmod","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.34",NA,"R (>= 3.0.0)","stats, graphics","yes","4.0.0","CRAN"
"statnet","statnet","C:/Users/Ilya/Documents/R/win-library/4.0","2019.6",NA,"R (>= 3.5), tergm (>= 3.6.1), ergm.count (>= 3.3), sna (>=
2.4), tsna (>= 0.3)","ergm (>= 3.10.4), network (>= 1.15), networkDynamic (>=
0.10.0), statnet.common (>= 4.2)","no","4.0.0","CRAN"
"statnet.common","statnet.common","C:/Users/Ilya/Documents/R/win-library/4.0","4.3.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools","yes","4.0.0","CRAN"
"stinepack","stinepack","C:/Users/Ilya/Documents/R/win-library/4.0","1.4",NA,NA,"stats","no","4.0.0","CRAN"
"stopwords","stopwords","C:/Users/Ilya/Documents/R/win-library/4.0","2.0",NA,"R (>= 2.10)","ISOcodes, usethis, desc","no","4.0.0","CRAN"
"streamR","streamR","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.5",NA,"R (>= 2.12.0), RCurl, rjson, ndjson",NA,"no","4.0.0","CRAN"
"stringdist","stringdist","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.5.5",NA,"R (>= 2.15.3)","parallel","yes","4.0.0","CRAN"
"stringfish","stringfish","C:/Users/Ilya/Documents/R/win-library/4.0","0.13.3",NA,"R (>= 3.5.0)","Rcpp","yes","4.0.2","CRAN"
"stringi","stringi","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.6",NA,"R (>= 2.14)","tools, utils, stats","yes","4.0.0","CRAN"
"stringr","stringr","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)","no","4.0.0","CRAN"
"striprtf","striprtf","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.0)","magrittr, Rcpp, stringr, utils","yes","4.0.0","CRAN"
"strucchange","strucchange","C:/Users/Ilya/Documents/R/win-library/4.0","1.5-2",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats, utils","yes","4.0.0","CRAN"
"styler","styler","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.2",NA,NA,"backports (>= 1.1.0), cli (>= 1.1.0), magrittr (>= 1.0.1),
purrr (>= 0.2.3), R.cache (>= 0.14.0), rematch2 (>= 2.0.1),
rlang (>= 0.1.1), rprojroot (>= 1.1), tibble (>= 1.4.2), tools,
withr (>= 1.0.0), xfun (>= 0.1)","no","4.0.0","CRAN"
"summarytools","summarytools","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.6",NA,"R (>= 2.10)","base64enc, checkmate, dplyr, grDevices, htmltools, lubridate,
magick, matrixStats, methods, pander, pryr, rapportools, stats,
tcltk, tibble, tidyr, utils","no","4.0.0","CRAN"
"sunburstR","sunburstR","C:/Users/Ilya/Documents/R/win-library/4.0","2.1.4",NA,NA,"d3r (>= 0.6.9), dplyr, htmlwidgets, htmltools","no","4.0.2","CRAN"
"survey","survey","C:/Users/Ilya/Documents/R/win-library/4.0","4.0",NA,"R (>= 3.1.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4)","no","4.0.0","CRAN"
"survminer","survminer","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.7",NA,"ggplot2, ggpubr(>= 0.1.6)","grid, gridExtra (>= 2.0), magrittr, maxstat, methods, scales,
survival, stats, broom, dplyr, tidyr, survMisc, purrr, tibble,
rlang","no","4.0.0","CRAN"
"survMisc","survMisc","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.5",NA,"survival","graphics, grDevices, stats, utils, knitr, KMsurv, ggplot2,
data.table, zoo, grid, gridExtra, km.ci, xtable","no","4.0.0","CRAN"
"svd","svd","C:/Users/Ilya/Documents/R/win-library/4.0","0.5",NA,NA,"methods","yes","4.0.0","CRAN"
"svglite","svglite","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.3.2",NA,"R (>= 3.0.0)","Rcpp, gdtools (>= 0.1.6)","yes","4.0.2","CRAN"
"sweep","sweep","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.3",NA,"R (>= 3.3.0)","broom (>= 0.5.6), dplyr (>= 1.0.0), forecast (>= 8.0),
lubridate (>= 1.6.0), tibble (>= 1.2), tidyr (>= 1.0.0), timetk
(>= 2.1.0), rlang","no","4.0.2","CRAN"
"sys","sys","C:/Users/Ilya/Documents/R/win-library/4.0","3.3",NA,NA,NA,"yes","4.0.0","CRAN"
"systemfit","systemfit","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-24",NA,"R (>= 3.2.0), Matrix, car (>= 2.0-0), lmtest","stats (>= 2.14.0), sandwich (>= 2.2-9), MASS, methods","no","4.0.0","CRAN"
"systemfonts","systemfonts","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.3",NA,NA,NA,"yes","4.0.0","CRAN"
"syuzhet","syuzhet","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.4",NA,"R (>= 2.10)","textshape (>= 1.3.0), NLP, zoo, dtt, stats, graphics, dplyr,
tidyr,","no","4.0.0","CRAN"
"table1","table1","C:/Users/Ilya/Documents/R/win-library/4.0","1.2",NA,NA,"stats,Formula,knitr,htmltools,yaml","no","4.0.0","CRAN"
"tableone","tableone","C:/Users/Ilya/Documents/R/win-library/4.0","0.11.1",NA,NA,"survey, MASS, e1071, zoo, gmodels, nlme, lmerTest, labelled","no","4.0.0","CRAN"
"taskscheduleR","taskscheduleR","C:/Users/Ilya/Documents/R/win-library/4.0","1.4",NA,NA,"data.table, tools, utils","no","4.0.0","CRAN"
"TeachingDemos","TeachingDemos","C:/Users/Ilya/Documents/R/win-library/4.0","2.12",NA,"R (>= 2.10)",NA,"no","4.0.0","CRAN"
"tensorflow","tensorflow","C:/Users/Ilya/Documents/R/win-library/4.0","2.2.0",NA,"R (>= 3.1)","config, jsonlite (>= 1.2), processx, reticulate (>= 1.10),
tfruns (>= 1.0), utils, yaml, rstudioapi (>= 0.7)","no","4.0.0","CRAN"
"tergm","tergm","C:/Users/Ilya/Documents/R/win-library/4.0","3.6.1",NA,"ergm (>= 3.10.1), network (>= 1.15), networkDynamic (>=
0.10.0)","robustbase (>= 0.93.5), coda (>= 0.19.2), nlme (>= 3.1.139),
MASS (>= 7.3.51.4), statnet.common (>= 4.2.0)","yes","4.0.0","CRAN"
"tesseract","tesseract","C:/Users/Ilya/Documents/R/win-library/4.0","4.1",NA,NA,"Rcpp (>= 0.12.12), pdftools (>= 1.5), curl, rappdirs, digest","yes","4.0.0","CRAN"
"testit","testit","C:/Users/Ilya/Documents/R/win-library/4.0","0.11",NA,NA,NA,"no","4.0.0","CRAN"
"testthat","testthat","C:/Users/Ilya/Documents/R/win-library/4.0","2.3.2",NA,"R (>= 3.1)","cli, crayon (>= 1.3.4), digest, ellipsis, evaluate, magrittr,
methods, pkgload, praise, R6 (>= 2.2.0), rlang (>= 0.4.1),
withr (>= 2.0.0)","yes","4.0.0","CRAN"
"texreg","texreg","C:/Users/Ilya/Documents/R/win-library/4.0","1.37.5",NA,"R (>= 3.5)","methods, stats, httr","no","4.0.0","CRAN"
"text2vec","text2vec","C:/Users/Ilya/Documents/R/win-library/4.0","0.6",NA,"R (>= 3.6.0), methods","Matrix (>= 1.1), Rcpp (>= 1.0.3), R6 (>= 2.3.0), data.table(>=
1.9.6), rsparse (>= 0.3.3.4), stringi (>= 1.1.5), mlapi (>=
0.1.0), lgr (>= 0.2), digest (>= 0.6.8)","yes","4.0.0","CRAN"
"textrank","textrank","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.0",NA,NA,"utils, data.table (>= 1.9.6), igraph, digest","no","4.0.0","CRAN"
"textreadr","textreadr","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.2",NA,"R (>= 3.2.2)","antiword, curl, data.table, pdftools, readxl, rvest, striprtf,
textshape, tools, utils, xml2","no","4.0.0","CRAN"
"textshape","textshape","C:/Users/Ilya/Documents/R/win-library/4.0","1.7.1",NA,"R (>= 3.4.0)","data.table, slam, stats, stringi, utils","no","4.0.0","CRAN"
"textutils","textutils","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-0",NA,NA,"utils","no","4.0.0","CRAN"
