"eHealth Trend Report,""logoRpt"""
Router_Comcor_Gi0/1

","""",""Bits In"",""Bits Out"""
18/04/2015 06:59:23,3606,1353624832.00000000,278954880.00000000
18/04/2015 07:58:25,3542,1536209280.00000000,308566400.00000000
18/04/2015 08:59:22,3657,4017758208.00000000,779335680.00000000
18/04/2015 09:59:29,3607,14888691712.00000000,2447540224.00000000
18/04/2015 10:58:37,3548,32888358912.00000000,2684180480.00000000
18/04/2015 11:59:32,3655,65108135936.00000000,22394515456.00000000
18/04/2015 12:59:44,3612,57720393728.00000000,7308328960.00000000
18/04/2015 13:58:56,3552,25328533504.00000000,2987857920.00000000
18/04/2015 14:59:49,3653,17335105536.00000000,3392217088.00000000
18/04/2015 15:59:55,3606,23221286912.00000000,3432994816.00000000
18/04/2015 16:58:59,3544,18172553216.00000000,2129057792.00000000
18/04/2015 17:59:56,3657,19428878336.00000000,2543906816.00000000
18/04/2015 18:59:04,3548,17869807616.00000000,3022874624.00000000
18/04/2015 19:59:10,3606,18096023552.00000000,2954227712.00000000
18/04/2015 20:59:09,3599,19199383552.00000000,1835235328.00000000
18/04/2015 21:59:22,3613,28300808192.00000000,2503829504.00000000
18/04/2015 22:59:33,3611,26628562944.00000000,2163658752.00000000
18/04/2015 23:59:29,3596,17245683712.00000000,1503401984.00000000
19/04/2015 00:59:40,3611,22264848384.00000000,3490508800.00000000
19/04/2015 01:59:48,3608,18475737088.00000000,2016831488.00000000
19/04/2015 02:59:38,3590,16976087040.00000000,1832679424.00000000
19/04/2015 03:59:45,3607,14303393792.00000000,1843894272.00000000
19/04/2015 04:59:51,3606,1571644288.00000000,504341248.00000000
19/04/2015 05:59:46,3595,1206658944.00000000,317593600.00000000
19/04/2015 06:59:51,3605,1304142720.00000000,325586432.00000000
19/04/2015 07:59:57,3606,1221813376.00000000,850491136.00000000
19/04/2015 08:59:53,3596,1231146752.00000000,638506624.00000000
19/04/2015 09:59:59,3606,1370666624.00000000,534741632.00000000
19/04/2015 10:59:10,3551,6634161664.00000000,486495744.00000000
19/04/2015 11:58:18,3548,1339702784.00000000,349984640.00000000
19/04/2015 12:59:12,3654,1908923392.00000000,1977166080.00000000
19/04/2015 13:59:20,3608,10052050944.00000000,1352842240.00000000
19/04/2015 14:58:25,3545,14605448192.00000000,1507646464.00000000
19/04/2015 15:59:21,3656,2017036416.00000000,410008704.00000000
19/04/2015 16:59:28,3607,1881463552.00000000,574318336.00000000
19/04/2015 17:58:39,3551,2311538176.00000000,588854272.00000000
19/04/2015 18:59:34,3655,1696525056.00000000,1170365696.00000000
19/04/2015 19:59:47,3613,1743561728.00000000,1130669056.00000000
19/04/2015 20:58:58,3551,1297268480.00000000,383802880.00000000
19/04/2015 21:59:03,3605,1815181568.00000000,330063616.00000000
19/04/2015 22:59:08,3605,5402297344.00000000,426558976.00000000
19/04/2015 23:59:13,3605,5702334464.00000000,622129152.00000000
20/04/2015 00:59:10,3597,2207248640.00000000,1032258816.00000000
20/04/2015 01:59:16,3606,4277339904.00000000,895632640.00000000
20/04/2015 02:59:23,3607,2271795456.00000000,1117723392.00000000
20/04/2015 03:59:19,3596,1270058112.00000000,455247360.00000000
20/04/2015 04:59:24,3605,1349850112.00000000,320264192.00000000
20/04/2015 05:59:29,3605,1287601408.00000000,322865920.00000000
20/04/2015 06:59:18,3589,1339230848.00000000,318721408.00000000
20/04/2015 07:59:23,3605,1568590464.00000000,856159872.00000000
20/04/2015 08:59:28,3605,23407941632.00000000,2216267776.00000000
20/04/2015 09:59:29,3601,46785314816.00000000,3566735360.00000000
20/04/2015 10:59:35,3606,53073846272.00000000,6085865472.00000000
20/04/2015 11:59:39,3604,116104019968.00000000,13648486400.00000000
20/04/2015 12:59:29,3590,96165265408.00000000,10221051904.00000000
20/04/2015 13:59:34,3605,113224859648.00000000,6289367040.00000000
20/04/2015 14:59:11,3577,100151885824.00000000,7641169920.00000000
20/04/2015 15:59:44,3633,94512177152.00000000,8135811072.00000000
20/04/2015 16:58:28,3524,163235627008.00000000,9214361600.00000000
20/04/2015 17:59:35,3667,100136902656.00000000,10518462464.00000000
20/04/2015 18:59:46,3611,75080400896.00000000,5354815488.00000000
20/04/2015 19:59:51,3605,44192825344.00000000,4018176000.00000000
20/04/2015 20:58:20,3509,20427898880.00000000,2449803264.00000000
20/04/2015 21:58:30,3610,24023109632.00000000,2108610560.00000000
20/04/2015 22:59:08,3638,20364247040.00000000,1779087360.00000000
20/04/2015 23:59:16,3608,17478023168.00000000,1766821888.00000000
21/04/2015 00:59:10,3594,17228005376.00000000,1743552512.00000000
21/04/2015 01:59:15,3605,18476496896.00000000,1761476608.00000000
21/04/2015 02:59:20,3605,16166254592.00000000,1693437952.00000000
21/04/2015 03:59:18,3598,16337113088.00000000,1708343296.00000000
21/04/2015 04:59:26,3608,16690938880.00000000,1704096768.00000000
21/04/2015 05:59:35,3609,16324118528.00000000,1688686592.00000000
21/04/2015 06:59:29,3594,16020218880.00000000,1483250688.00000000
21/04/2015 07:59:35,3606,16990263296.00000000,1924272128.00000000
21/04/2015 08:59:41,3606,40782594048.00000000,3132702720.00000000
21/04/2015 09:59:31,3590,77556547584.00000000,6320242688.00000000
21/04/2015 10:59:26,3595,127410307072.00000000,8531509248.00000000
21/04/2015 11:59:51,3625,110759723008.00000000,7565795328.00000000
21/04/2015 12:59:44,3593,92826312704.00000000,10313334784.00000000
21/04/2015 13:59:49,3605,158929338368.00000000,8897069056.00000000
21/04/2015 14:59:29,3580,165412651008.00000000,9597747200.00000000
21/04/2015 15:59:50,3621,169583165440.00000000,9687400448.00000000
21/04/2015 16:59:24,3574,143672295424.00000000,9676636160.00000000
21/04/2015 17:59:39,3615,85667373056.00000000,19425181696.00000000
21/04/2015 18:59:54,3615,54016176128.00000000,4604264448.00000000
21/04/2015 19:58:53,3539,17990760448.00000000,2077349888.00000000
21/04/2015 20:59:49,3656,41589604352.00000000,1883160576.00000000
21/04/2015 21:59:35,3586,4559994368.00000000,613085696.00000000
21/04/2015 22:59:26,3591,2909884416.00000000,616636928.00000000
21/04/2015 23:59:33,3607,3311486464.00000000,488719872.00000000
22/04/2015 00:59:06,3573,1670638208.00000000,434710784.00000000
22/04/2015 01:59:03,3597,1262861568.00000000,391757440.00000000
22/04/2015 02:59:13,3610,936038208.00000000,361715776.00000000
22/04/2015 03:59:19,3606,1311025024.00000000,371275264.00000000
22/04/2015 04:59:18,3599,1305285504.00000000,388476672.00000000
22/04/2015 05:59:24,3606,2149121024.00000000,455251712.00000000
22/04/2015 06:59:35,3611,1043673536.00000000,400789312.00000000
22/04/2015 07:59:40,3605,1689740288.00000000,925559296.00000000
22/04/2015 08:59:33,3593,30658390016.00000000,1953622016.00000000
22/04/2015 09:58:24,3531,49139732480.00000000,4062564352.00000000
22/04/2015 10:59:19,3655,88161574912.00000000,6356369408.00000000
22/04/2015 11:59:20,3601,147269189632.00000000,11750457344.00000000
22/04/2015 12:59:07,3587,247455170560.00000000,13897498624.00000000
22/04/2015 13:59:16,3609,113179664384.00000000,8505016320.00000000
22/04/2015 14:59:29,3613,125172989952.00000000,9029263360.00000000
22/04/2015 15:59:16,3587,107734204416.00000000,8051638272.00000000
22/04/2015 16:59:51,3635,114490408960.00000000,8640962560.00000000
22/04/2015 17:59:19,3568,91523629056.00000000,7541022720.00000000
22/04/2015 18:58:47,3568,57345470464.00000000,5100654592.00000000
22/04/2015 19:59:32,3645,29910317056.00000000,2447980544.00000000
22/04/2015 20:59:38,3606,20830162944.00000000,2126542848.00000000
22/04/2015 21:59:39,3601,16919577600.00000000,1914385408.00000000
22/04/2015 22:59:39,3600,16321582080.00000000,1665281024.00000000
22/04/2015 23:59:43,3604,16758616064.00000000,1637076992.00000000
23/04/2015 00:59:35,3592,17123842048.00000000,1679859712.00000000
23/04/2015 01:59:43,3608,16171472896.00000000,1664354304.00000000
23/04/2015 02:59:50,3607,16064722944.00000000,1644427264.00000000
23/04/2015 03:59:49,3599,16085055488.00000000,1643689984.00000000
23/04/2015 04:59:57,3608,11989165056.00000000,1197519872.00000000
23/04/2015 05:59:04,3547,1469926784.00000000,348511104.00000000
23/04/2015 06:59:56,3652,1498066560.00000000,419475200.00000000
23/04/2015 07:59:54,3598,9671707648.00000000,861262848.00000000
23/04/2015 08:59:39,3585,42661052416.00000000,3913547776.00000000
23/04/2015 09:59:41,3602,70789931008.00000000,6768779264.00000000
23/04/2015 10:59:48,3607,116137721856.00000000,7465500672.00000000
23/04/2015 11:59:26,3578,115988275200.00000000,11762597888.00000000
23/04/2015 12:58:41,3555,124564897792.00000000,62599659520.00000000
23/04/2015 13:59:30,3649,105919889408.00000000,7063281664.00000000
23/04/2015 14:59:05,3575,84424114176.00000000,7919001600.00000000
23/04/2015 15:59:39,3634,97379639296.00000000,7557472256.00000000
23/04/2015 16:59:17,3578,98087559168.00000000,8547672064.00000000
23/04/2015 17:59:43,3626,118443868160.00000000,9792094208.00000000
23/04/2015 18:59:08,3565,36487778304.00000000,4142813184.00000000
23/04/2015 19:59:07,3599,20615968768.00000000,2273193984.00000000
23/04/2015 20:59:14,3607,7456532480.00000000,1140369408.00000000
23/04/2015 21:59:22,3608,2274017280.00000000,516640000.00000000
23/04/2015 22:59:20,3598,2431320576.00000000,15424763904.00000000
23/04/2015 23:59:28,3608,1012042240.00000000,479067904.00000000
24/04/2015 00:59:39,3611,2066944384.00000000,415839360.00000000
24/04/2015 01:59:35,3596,2613867520.00000000,457982464.00000000
24/04/2015 02:59:44,3609,1431933440.00000000,368385792.00000000
24/04/2015 03:59:51,3607,4490555392.00000000,439819776.00000000
24/04/2015 04:59:45,3594,1163355008.00000000,373413888.00000000
24/04/2015 05:59:53,3608,796947520.00000000,350453184.00000000
24/04/2015 06:59:05,3552,880233216.00000000,345692672.00000000
24/04/2015 07:59:59,3654,5342466048.00000000,522233856.00000000
24/04/2015 08:59:05,3546,27767312384.00000000,1786892288.00000000
24/04/2015 09:59:07,3602,61991698432.00000000,7012786176.00000000
24/04/2015 10:59:53,3646,163019456512.00000000,9188982784.00000000
24/04/2015 11:59:34,3581,148804173824.00000000,8463974400.00000000
24/04/2015 12:58:12,3518,110634082304.00000000,7466958848.00000000
24/04/2015 13:59:13,3661,138624712704.00000000,7818166272.00000000
24/04/2015 14:59:51,3638,238350663680.00000000,11896979456.00000000
24/04/2015 15:59:30,3579,168082554880.00000000,9300328448.00000000
24/04/2015 16:59:01,3571,167198359552.00000000,9833480192.00000000
24/04/2015 17:59:35,3634,52485652480.00000000,4035829760.00000000
24/04/2015 18:59:11,3576,39938027520.00000000,3127959552.00000000
24/04/2015 19:59:10,3599,25083064320.00000000,1817120768.00000000
24/04/2015 20:59:44,3634,17659262976.00000000,1287022592.00000000
24/04/2015 21:59:07,3563,20465012736.00000000,1249202176.00000000
24/04/2015 22:59:18,3611,23851902976.00000000,1463709696.00000000
24/04/2015 23:59:07,3589,21777563648.00000000,1826465792.00000000
25/04/2015 00:59:11,3604,27040700416.00000000,1975185408.00000000
25/04/2015 01:58:16,3545,26182744064.00000000,1885030400.00000000
25/04/2015 02:59:10,3654,23905615872.00000000,1898909696.00000000
25/04/2015 03:59:18,3608,21349462016.00000000,1830078464.00000000
25/04/2015 04:58:23,3545,19487318016.00000000,1750007808.00000000
25/04/2015 05:59:15,3652,19356786688.00000000,1445976064.00000000
25/04/2015 06:59:23,3608,20671924224.00000000,1789347840.00000000
25/04/2015 07:58:28,3545,19727730688.00000000,1735475200.00000000
25/04/2015 08:59:18,3650,17426341888.00000000,1891760128.00000000
25/04/2015 09:59:21,3603,30200190976.00000000,2622926848.00000000
25/04/2015 10:58:30,3549,31506946048.00000000,2579296256.00000000
25/04/2015 11:59:12,3642,55301312512.00000000,3458289664.00000000
25/04/2015 12:59:14,3602,51746611200.00000000,3283312640.00000000
25/04/2015 13:58:15,3541,20344360960.00000000,1919586304.00000000
25/04/2015 14:59:04,3649,22523330560.00000000,3211442176.00000000
25/04/2015 15:59:31,3627,19232163840.00000000,3403558912.00000000
25/04/2015 16:59:17,3586,21814638592.00000000,4396496896.00000000
25/04/2015 17:59:45,3628,19377524736.00000000,6001805312.00000000
25/04/2015 18:59:03,3558,18245672960.00000000,5146710016.00000000
25/04/2015 19:58:58,3595,18360602624.00000000,4904744960.00000000
25/04/2015 20:59:42,3644,20039964672.00000000,5344241664.00000000
25/04/2015 21:59:46,3604,18666424320.00000000,3837927424.00000000
25/04/2015 22:58:52,3546,16658949120.00000000,1683504128.00000000
25/04/2015 23:59:38,3646,17248049152.00000000,1733306368.00000000
26/04/2015 00:59:45,3607,17490923520.00000000,1583400960.00000000
26/04/2015 01:58:48,3543,16823239680.00000000,1242518528.00000000
26/04/2015 02:59:36,3648,15965268992.00000000,1565602816.00000000
26/04/2015 03:59:43,3607,13864007680.00000000,959437824.00000000
26/04/2015 04:58:44,3541,1983717888.00000000,277422336.00000000
26/04/2015 05:59:35,3651,1132460544.00000000,248544512.00000000
26/04/2015 06:59:43,3608,1138782336.00000000,252539136.00000000
26/04/2015 07:58:47,3544,1124505216.00000000,247517824.00000000
26/04/2015 08:59:41,3654,1165970176.00000000,252127616.00000000
26/04/2015 09:59:47,3606,1384347392.00000000,327749760.00000000
26/04/2015 10:58:48,3541,1571710208.00000000,306211200.00000000
26/04/2015 11:59:36,3648,5447424512.00000000,634010624.00000000
26/04/2015 12:59:40,3604,2598210560.00000000,333400064.00000000
26/04/2015 13:58:45,3545,3189259008.00000000,331416832.00000000
26/04/2015 14:59:41,3656,1302090112.00000000,342999680.00000000
26/04/2015 15:59:48,3607,2530242560.00000000,404617216.00000000
26/04/2015 16:58:50,3542,4532120064.00000000,565517312.00000000
26/04/2015 17:59:41,3651,44788125696.00000000,2080415744.00000000
26/04/2015 18:59:46,3605,2581511168.00000000,349912064.00000000
26/04/2015 19:58:56,3550,3285500160.00000000,3506763008.00000000
26/04/2015 20:59:53,3657,3732236032.00000000,2874076416.00000000
26/04/2015 21:59:58,3605,2257085440.00000000,2376030720.00000000
26/04/2015 22:59:06,3548,3552435968.00000000,2493272832.00000000
26/04/2015 23:59:03,3597,4745347072.00000000,2565923328.00000000
27/04/2015 00:59:10,3607,2402594048.00000000,2534554880.00000000
27/04/2015 01:59:18,3608,3907382272.00000000,2484645376.00000000
27/04/2015 02:59:15,3597,2494521344.00000000,2210503168.00000000
27/04/2015 03:59:19,3604,2279948800.00000000,2366642688.00000000
27/04/2015 04:59:29,3610,2313854720.00000000,2394091776.00000000
27/04/2015 05:59:25,3596,2286104832.00000000,2435338496.00000000
27/04/2015 06:59:30,3605,2481654272.00000000,2477527552.00000000
27/04/2015 07:59:34,3604,3277398784.00000000,2563611392.00000000
27/04/2015 08:59:54,3620,42613600256.00000000,4033187840.00000000
27/04/2015 09:58:36,3522,68992131072.00000000,11078975488.00000000
27/04/2015 10:59:12,3636,118578102272.00000000,19315720192.00000000
27/04/2015 11:59:09,3597,105882722304.00000000,6417899520.00000000
27/04/2015 12:58:41,3572,128794116096.00000000,15805939712.00000000
27/04/2015 13:59:29,3648,118795034624.00000000,19603316736.00000000
27/04/2015 14:59:25,3596,95280226304.00000000,5927911424.00000000
27/04/2015 15:59:39,3614,105008766976.00000000,6451036160.00000000
27/04/2015 16:59:18,3579,88012718080.00000000,6187409408.00000000
27/04/2015 17:59:19,3601,82087862272.00000000,5614239744.00000000
27/04/2015 18:59:19,3600,60211560448.00000000,5372203008.00000000
27/04/2015 19:59:22,3603,27962783744.00000000,3209062400.00000000
27/04/2015 20:59:12,3590,26728785920.00000000,2483861504.00000000
27/04/2015 21:58:25,3553,22197764096.00000000,2564773888.00000000
27/04/2015 22:59:11,3646,19775588352.00000000,1264603136.00000000
27/04/2015 23:59:24,3613,19949113344.00000000,1192787968.00000000
28/04/2015 00:59:10,3586,23037689856.00000000,1249032192.00000000
28/04/2015 01:59:19,3609,17914462208.00000000,1161656320.00000000
28/04/2015 02:59:24,3605,18056798208.00000000,1112221696.00000000
28/04/2015 03:59:18,3594,16319680512.00000000,1075585024.00000000
28/04/2015 04:59:24,3606,11903094784.00000000,861336576.00000000
28/04/2015 05:59:26,3602,8582778880.00000000,674325504.00000000
28/04/2015 06:59:13,3587,8303700480.00000000,690199040.00000000
28/04/2015 07:59:20,3607,7331894272.00000000,827572736.00000000
28/04/2015 08:59:49,3629,28108507136.00000000,1612171264.00000000
28/04/2015 09:59:50,3601,42154909696.00000000,5151567872.00000000
28/04/2015 10:59:34,3584,105424510976.00000000,8864006144.00000000
28/04/2015 11:59:17,3583,116676132864.00000000,6654124032.00000000
28/04/2015 12:59:51,3634,87767982080.00000000,5325365248.00000000
28/04/2015 13:59:04,3553,49515909120.00000000,5343092736.00000000
28/04/2015 14:59:08,3604,68314136576.00000000,5225013248.00000000
28/04/2015 15:59:46,3638,94808260608.00000000,7191961600.00000000
28/04/2015 16:59:27,3581,69904424960.00000000,7098245120.00000000
28/04/2015 17:59:49,3622,88949096448.00000000,18990448640.00000000
28/04/2015 18:58:37,3528,48905781248.00000000,4391129088.00000000
28/04/2015 19:59:53,3676,25852581888.00000000,3712524288.00000000
28/04/2015 20:59:04,3551,10112294912.00000000,4113581056.00000000
28/04/2015 21:59:19,3615,5332481536.00000000,873253376.00000000
28/04/2015 22:59:40,3621,4098700800.00000000,968070656.00000000
28/04/2015 23:59:40,3600,2834064896.00000000,937035520.00000000
29/04/2015 00:59:01,3561,3007990784.00000000,502506240.00000000
29/04/2015 01:59:25,3624,6247823360.00000000,540737536.00000000
29/04/2015 02:59:09,3584,3743396352.00000000,436085504.00000000
29/04/2015 03:59:58,3649,6438307328.00000000,519013376.00000000
29/04/2015 04:59:59,3601,2710437888.00000000,385271808.00000000
29/04/2015 05:59:27,3568,1843237760.00000000,345693568.00000000
29/04/2015 06:59:49,3622,1993406080.00000000,358002304.00000000
29/04/2015 07:59:12,3563,5562778624.00000000,514784768.00000000
29/04/2015 08:59:56,3644,31401934848.00000000,1945735168.00000000
29/04/2015 09:59:53,3597,57634340864.00000000,4055015424.00000000
29/04/2015 10:59:49,3596,112405258240.00000000,12934176768.00000000
29/04/2015 11:59:28,3579,129257177088.00000000,7967023104.00000000
29/04/2015 12:59:14,3586,115631808512.00000000,7258947584.00000000
29/04/2015 13:59:34,3620,106386374656.00000000,6990880768.00000000
29/04/2015 14:59:47,3613,109964705792.00000000,13650460672.00000000
29/04/2015 15:59:07,3560,149953019904.00000000,13045891072.00000000
29/04/2015 16:59:01,3594,111695495168.00000000,7436533760.00000000
29/04/2015 17:59:11,3610,86883278848.00000000,5749071872.00000000
29/04/2015 18:59:19,3608,50168090624.00000000,3988246528.00000000
29/04/2015 19:59:34,3615,29646665728.00000000,10371299328.00000000
29/04/2015 20:59:51,3617,9484638208.00000000,9112420352.00000000
29/04/2015 21:59:01,3550,3458480640.00000000,7664366080.00000000
29/04/2015 22:59:50,3649,3615488512.00000000,5852809728.00000000
29/04/2015 23:59:39,3589,2625009152.00000000,2085175296.00000000
30/04/2015 00:59:57,3618,6976077824.00000000,3927758848.00000000
30/04/2015 01:58:52,3535,8202018304.00000000,1023820288.00000000
30/04/2015 02:59:13,3621,3645729792.00000000,6438514688.00000000
30/04/2015 03:59:35,3622,5017891328.00000000,8188521984.00000000
30/04/2015 04:59:07,3572,7399438848.00000000,12022933504.00000000
30/04/2015 05:59:19,3612,2334686720.00000000,8533181952.00000000
30/04/2015 06:59:28,3609,3180372736.00000000,15639688192.00000000
30/04/2015 07:59:46,3618,12701014016.00000000,7674419200.00000000
30/04/2015 08:59:10,3564,34531196928.00000000,9999667200.00000000
30/04/2015 09:58:57,3587,42036191232.00000000,3905368064.00000000
30/04/2015 10:59:34,3637,57224441856.00000000,5729001472.00000000
30/04/2015 11:59:10,3576,76001992704.00000000,5203853312.00000000
30/04/2015 12:59:40,3630,113820360704.00000000,6370525184.00000000
30/04/2015 13:59:48,3608,121147703296.00000000,12093136896.00000000
30/04/2015 14:59:17,3569,133743198208.00000000,9091383296.00000000
30/04/2015 15:58:25,3548,141494239232.00000000,10359439360.00000000
30/04/2015 16:59:14,3649,64318369792.00000000,6541307904.00000000
30/04/2015 17:59:05,3591,58200731648.00000000,4132888576.00000000
30/04/2015 18:58:14,3549,19985539072.00000000,1950787584.00000000
30/04/2015 19:59:08,3654,5536274432.00000000,3693309952.00000000
30/04/2015 20:59:09,3601,3746347008.00000000,10255127552.00000000
30/04/2015 21:59:26,3617,7076571136.00000000,9422026752.00000000
30/04/2015 22:59:37,3611,13807928320.00000000,11467314176.00000000
30/04/2015 23:59:46,3609,7885580288.00000000,14899257344.00000000

"Auto Range:  Last Month,"""",""Created: 15/05/2015 12:24:25"""
"From:  01/04/2015 00:00,""Time Zone: (GMT+03:00) Eastern Africa"""
To:  30/04/2015 23:59
